Messpunkt,Differenzdruck,Durchfluss,Durchfluss_unkorrigiert,Poti_Wert,Vorschub,Durchmesser,Abtastung,Zeit,RUL
1,0,3.94208544367865,2.426071,15,1,19,10,0.1,223.2
2,0,61.2570895034774,39.86004,15,1,19,10,0.2,223.1
3,0,73.687522864533,48.94302,15,1,19,10,0.3,223
4,0,78.0732779135439,51.96821,15,1,19,10,0.4,222.9
5,0,79.7287119843369,53.29959,15,1,19,10,0.5,222.8
6,0,80.3132633743784,53.80256,15,1,19,10,0.6,222.7
7,0,80.3734304329752,53.85433,15,1,19,10,0.7,222.6
8,0,80.0295821433005,53.55847,15,1,19,10,0.8,222.5
9,0,81.0860204839144,54.46825,15,1,19,10,0.9,222.4
10,0,81.5341165807208,54.86026,15,1,19,10,1,222.3
11,0,81.2466565505561,54.60878,15,1,19,10,1.1,222.2
12,1.446759,81.2551038609701,54.61617,15,1,19,10,1.2,222.1
13,1.989294,80.5883327085236,54.03924,15,1,19,10,1.3,222
14,1.989294,80.5195653749873,53.98007,15,1,19,10,1.4,221.9
15,3.255208,80.8462247367762,54.26114,15,1,19,10,1.5,221.8
16,4.521122,81.1874682240016,54.557,15,1,19,10,1.6,221.7
17,4.521122,80.5969329834631,54.04664,15,1,19,10,1.7,221.6
18,5.15408,81.0181488816135,54.40907,15,1,19,10,1.8,221.5
19,7.052951,81.0691030016238,54.45345,15,1,19,10,1.9,221.4
20,7.052951,81.1282913281783,54.50523,15,1,19,10,2,221.3
21,7.052951,80.9493815480772,54.3499,15,1,19,10,2.1,221.2
22,7.052951,81.1451973797377,54.52002,15,1,19,10,2.2,221.1
23,6.962529,81.0009599537277,54.39428,15,1,19,10,2.3,221
24,6.419994,80.7774574032399,54.20197,15,1,19,10,2.4,220.9
25,5.15408,80.717290344643,54.1502,15,1,19,10,2.5,220.8
26,8.861401,81.0181488816135,54.40907,15,1,19,10,2.6,220.7
27,8.951823,80.7946463311256,54.21676,15,1,19,10,2.7,220.6
28,8.951823,80.4421977665115,53.9135,15,1,19,10,2.8,220.5
29,8.951823,80.3562298830963,53.83953,15,1,19,10,2.9,220.4
30,8.318866,80.7516682004146,54.17978,15,1,19,10,3,220.3
31,7.052951,81.0775617427691,54.46085,15,1,19,10,3.1,220.2
32,7.052951,80.966570475963,54.36469,15,1,19,10,3.2,220.1
33,7.052951,80.9321926201914,54.33511,15,1,19,10,3.3,220
34,6.419994,81.1367386385924,54.51262,15,1,19,10,3.4,219.9
35,5.15408,80.7516682004146,54.17978,15,1,19,10,3.5,219.8
36,6.419994,81.3819392552244,54.72713,15,1,19,10,3.6,219.7
37,5.15408,81.7623997150623,55.05997,15,1,19,10,3.7,219.6
38,5.063657,81.0691030016238,54.45345,15,1,19,10,3.8,219.5
39,6.419994,81.3058334463793,54.66055,15,1,19,10,3.9,219.4
40,4.521122,80.8290358088904,54.24635,15,1,19,10,4,219.3
41,3.255208,81.1029265354737,54.48304,15,1,19,10,4.1,219.2
42,3.255208,81.3142921875246,54.66795,15,1,19,10,4.2,219.1
43,3.255208,81.3396569802292,54.69014,15,1,19,10,4.3,219
44,1.989294,81.415751358343,54.75671,15,1,19,10,4.4,218.9
45,1.989294,81.1029265354737,54.48304,15,1,19,10,4.5,218.8
46,1.989294,81.0009599537277,54.39428,15,1,19,10,4.6,218.7
47,2.622251,81.407304047929,54.74932,15,1,19,10,4.7,218.6
48,3.436053,81.0095602286672,54.40168,15,1,19,10,4.8,218.5
49,4.521122,81.5087517880162,54.83807,15,1,19,10,4.9,218.4
50,4.4307,81.2973861359653,54.65316,15,1,19,10,5,218.3
51,4.882812,81.2043742755609,54.57179,15,1,19,10,5.1,218.2
52,5.063657,81.0009599537277,54.39428,15,1,19,10,5.2,218.1
53,4.521122,80.3820190859215,53.86172,15,1,19,10,5.3,218
54,3.255208,81.0352908985052,54.42387,15,1,19,10,5.4,217.9
55,1.989294,81.0775617427691,54.46085,15,1,19,10,5.5,217.8
56,1.989294,81.1029265354737,54.48304,15,1,19,10,5.6,217.7
57,1.989294,80.9923596787883,54.38688,15,1,19,10,5.7,217.6
58,3.255208,81.407304047929,54.74932,15,1,19,10,5.8,217.5
59,5.334925,81.3903865656385,54.73452,15,1,19,10,5.9,217.4
60,7.233796,80.450798041451,53.9209,15,1,19,10,6,217.3
61,6.600839,80.8376244618367,54.25374,15,1,19,10,6.1,217.2
62,6.600839,80.7430679254751,54.17238,15,1,19,10,6.2,217.1
63,8.499711,81.3311982390839,54.68274,15,1,19,10,6.3,217
64,7.233796,81.4918457364569,54.82328,15,1,19,10,6.4,216.9
65,7.233796,80.8978031424267,54.30552,15,1,19,10,6.5,216.8
66,6.600839,81.0691030016238,54.45345,15,1,19,10,6.6,216.7
67,5.334925,81.2720213432607,54.63097,15,1,19,10,6.7,216.6
68,8.499711,81.4918457364569,54.82328,15,1,19,10,6.8,216.5
69,9.132668,80.8892028674872,54.29812,15,1,19,10,6.9,216.4
70,10.39858,81.0095602286672,54.40168,15,1,19,10,7,216.3
71,11.48365,81.3396569802292,54.69014,15,1,19,10,7.1,216.2
72,11.03154,81.0775617427691,54.46085,15,1,19,10,7.2,216.1
73,9.94647,81.1367386385924,54.51262,15,1,19,10,7.3,216
74,5.334925,81.1029265354737,54.48304,15,1,19,10,7.4,215.9
75,8.138021,81.6440344926845,54.95642,15,1,19,10,7.5,215.8
76,7.776331,81.1367386385924,54.51262,15,1,19,10,7.6,215.7
77,7.233796,81.5256578395755,54.85286,15,1,19,10,7.7,215.6
78,7.233796,80.8978031424267,54.30552,15,1,19,10,7.8,215.5
79,7.233796,80.7516682004146,54.17978,15,1,19,10,7.9,215.4
80,6.600839,81.4326574099023,54.7715,15,1,19,10,8,215.3
81,5.515769,81.0691030016238,54.45345,15,1,19,10,8.1,215.2
82,7.233796,81.7285761812124,55.03038,15,1,19,10,8.2,215.1
83,7.233796,81.4833869953116,54.81588,15,1,19,10,8.3,215
84,6.600839,81.5002930468709,54.83067,15,1,19,10,8.4,214.9
85,6.600839,81.153656120883,54.52742,15,1,19,10,8.5,214.8
86,7.143374,81.415751358343,54.75671,15,1,19,10,8.6,214.7
87,6.600839,80.906391795373,54.31291,15,1,19,10,8.7,214.6
88,5.334925,80.9407812731378,54.3425,15,1,19,10,8.8,214.5
89,5.334925,81.1874682240016,54.557,15,1,19,10,8.9,214.4
90,5.244502,81.2720213432607,54.63097,15,1,19,10,9,214.3
91,6.600839,80.923592345252,54.32771,15,1,19,10,9.1,214.2
92,8.499711,80.9579818230167,54.3573,15,1,19,10,9.2,214.1
93,8.499711,80.8376244618367,54.25374,15,1,19,10,9.3,214
94,7.233796,80.923592345252,54.32771,15,1,19,10,9.4,213.9
95,7.233796,80.2702736216742,53.76557,15,1,19,10,9.5,213.8
96,7.233796,81.2551038609701,54.61617,15,1,19,10,9.6,213.7
97,5.334925,80.5883327085236,54.03924,15,1,19,10,9.7,213.6
98,3.436053,80.9493815480772,54.3499,15,1,19,10,9.8,213.5
99,3.436053,80.657111664053,54.09842,15,1,19,10,9.9,213.4
100,3.436053,80.7688571283004,54.19457,15,1,19,10,10,213.3
101,3.436053,80.7774574032399,54.20197,15,1,19,10,10.1,213.2
102,4.701968,81.0437382089192,54.43126,15,1,19,10,10.2,213.1
103,8.499711,80.1327389546016,53.64723,15,1,19,10,10.3,213
104,8.499711,80.8892028674872,54.29812,15,1,19,10,10.4,212.9
105,7.233796,80.7774574032399,54.20197,15,1,19,10,10.5,212.8
106,7.143374,80.8118352590114,54.23155,15,1,19,10,10.6,212.7
107,6.600839,81.1367386385924,54.51262,15,1,19,10,10.7,212.6
108,7.233796,81.1029265354737,54.48304,15,1,19,10,10.8,212.5
109,7.233796,81.1451973797377,54.52002,15,1,19,10,10.9,212.4
110,9.132668,80.6141219113489,54.06143,15,1,19,10,11,212.3
111,8.499711,80.7860576781794,54.20937,15,1,19,10,11.1,212.2
112,7.233796,80.8462247367762,54.26114,15,1,19,10,11.2,212.1
113,8.499711,80.9149920703125,54.32031,15,1,19,10,11.3,212
114,7.233796,80.3734304329752,53.85433,15,1,19,10,11.4,211.9
115,8.409288,80.1585281574268,53.66942,15,1,19,10,11.5,211.8
116,8.499711,80.6829008668783,54.12061,15,1,19,10,11.6,211.7
117,8.499711,81.1874682240016,54.557,15,1,19,10,11.7,211.6
118,8.499711,81.5425753218661,54.86766,15,1,19,10,11.8,211.5
119,7.685908,81.0437382089192,54.43126,15,1,19,10,11.9,211.4
120,7.052951,80.863413664662,54.27593,15,1,19,10,12,211.3
121,7.233796,80.5883327085236,54.03924,15,1,19,10,12.1,211.2
122,8.499711,80.8892028674872,54.29812,15,1,19,10,12.2,211.1
123,8.861401,80.3132633743784,53.80256,15,1,19,10,12.3,211
124,8.951823,80.8720139396015,54.28333,15,1,19,10,12.4,210.9
